v1	V(va)	V(vb)	V(vc)
Step Information: Rt=1K Rp=1K  (Step: 1/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	9.375000e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.875000e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.812500e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	3.750000e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	4.687500e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	5.625000e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	6.562500e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	7.500000e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	8.437500e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	9.375000e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	1.031250e+00	1.000000e+00
1.200000000000000e+00	1.200000e+00	1.125000e+00	1.090909e+00
1.300000000000000e+00	1.300000e+00	1.218750e+00	1.181818e+00
1.400000000000000e+00	1.400000e+00	1.312500e+00	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.406250e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.500000e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.593750e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.687500e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.781250e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.875000e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.968750e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	2.062500e+00	2.000000e+00
2.300000000000001e+00	2.300000e+00	2.156250e+00	2.090909e+00
2.400000000000001e+00	2.400000e+00	2.250000e+00	2.181818e+00
2.500000000000001e+00	2.500000e+00	2.343750e+00	2.272727e+00
2.600000000000001e+00	2.600000e+00	2.437500e+00	2.363636e+00
2.700000000000001e+00	2.700000e+00	2.531250e+00	2.454545e+00
2.800000000000001e+00	2.800000e+00	2.625000e+00	2.545455e+00
2.900000000000001e+00	2.900000e+00	2.718750e+00	2.636364e+00
3.000000000000001e+00	3.000000e+00	2.812500e+00	2.727273e+00
3.100000000000001e+00	3.100000e+00	2.906250e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	3.000000e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	3.093750e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	3.187500e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	3.281250e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	3.375000e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	3.468750e+00	3.363636e+00
3.800000000000002e+00	3.800000e+00	3.562500e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	3.656250e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	3.750000e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	3.843750e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	3.937500e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	4.031250e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	4.125000e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	4.218750e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	4.312500e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	4.406250e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	4.500000e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	4.593750e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	4.687500e+00	4.545455e+00
Step Information: Rt=2K Rp=1K  (Step: 2/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	8.823530e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.764706e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.647059e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	3.529412e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	4.411765e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	5.294118e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	6.176471e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	7.058824e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	7.941176e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	8.823529e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	9.705882e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	1.058824e+00	1.090909e+00
1.300000000000000e+00	1.300000e+00	1.147059e+00	1.181818e+00
1.400000000000000e+00	1.400000e+00	1.235294e+00	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.323529e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.411765e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.500000e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.588235e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.676471e+00	1.727273e+00
2.000000000000000e+00	2.000000e+00	1.764706e+00	1.818182e+00
2.100000000000001e+00	2.100000e+00	1.852941e+00	1.909091e+00
2.200000000000001e+00	2.200000e+00	1.941176e+00	2.000000e+00
2.300000000000001e+00	2.300000e+00	2.029412e+00	2.090909e+00
2.400000000000001e+00	2.400000e+00	2.117647e+00	2.181818e+00
2.500000000000001e+00	2.500000e+00	2.205882e+00	2.272727e+00
2.600000000000001e+00	2.600000e+00	2.294118e+00	2.363636e+00
2.700000000000001e+00	2.700000e+00	2.382353e+00	2.454545e+00
2.800000000000001e+00	2.800000e+00	2.470588e+00	2.545455e+00
2.900000000000001e+00	2.900000e+00	2.558824e+00	2.636364e+00
3.000000000000001e+00	3.000000e+00	2.647059e+00	2.727273e+00
3.100000000000001e+00	3.100000e+00	2.735294e+00	2.818182e+00
3.200000000000002e+00	3.200000e+00	2.823529e+00	2.909091e+00
3.300000000000002e+00	3.300000e+00	2.911765e+00	3.000000e+00
3.400000000000002e+00	3.400000e+00	3.000000e+00	3.090909e+00
3.500000000000002e+00	3.500000e+00	3.088235e+00	3.181818e+00
3.600000000000002e+00	3.600000e+00	3.176471e+00	3.272727e+00
3.700000000000002e+00	3.700000e+00	3.264706e+00	3.363636e+00
3.800000000000002e+00	3.800000e+00	3.352941e+00	3.454545e+00
3.900000000000002e+00	3.900000e+00	3.441176e+00	3.545455e+00
4.000000000000002e+00	4.000000e+00	3.529412e+00	3.636364e+00
4.100000000000001e+00	4.100000e+00	3.617647e+00	3.727273e+00
4.200000000000001e+00	4.200000e+00	3.705882e+00	3.818182e+00
4.300000000000001e+00	4.300000e+00	3.794118e+00	3.909091e+00
4.400000000000000e+00	4.400000e+00	3.882353e+00	4.000000e+00
4.500000000000000e+00	4.500000e+00	3.970588e+00	4.090909e+00
4.600000000000000e+00	4.600000e+00	4.058824e+00	4.181818e+00
4.699999999999999e+00	4.700000e+00	4.147059e+00	4.272727e+00
4.799999999999999e+00	4.800000e+00	4.235294e+00	4.363636e+00
4.899999999999999e+00	4.900000e+00	4.323529e+00	4.454545e+00
5.000000000000000e+00	5.000000e+00	4.411765e+00	4.545455e+00
Step Information: Rt=3K Rp=1K  (Step: 3/100)
0.000000000000000e+00	0.000000e+00	0.000000e+00	0.000000e+00
1.000000000000000e-01	1.000000e-01	8.333334e-02	9.090909e-02
2.000000000000000e-01	2.000000e-01	1.666667e-01	1.818182e-01
3.000000000000000e-01	3.000000e-01	2.500000e-01	2.727273e-01
4.000000000000000e-01	4.000000e-01	3.333333e-01	3.636364e-01
5.000000000000000e-01	5.000000e-01	4.166667e-01	4.545455e-01
6.000000000000000e-01	6.000000e-01	5.000000e-01	5.454546e-01
7.000000000000000e-01	7.000000e-01	5.833333e-01	6.363636e-01
7.999999999999999e-01	8.000000e-01	6.666667e-01	7.272727e-01
8.999999999999999e-01	9.000000e-01	7.500000e-01	8.181818e-01
9.999999999999999e-01	1.000000e+00	8.333333e-01	9.090909e-01
1.100000000000000e+00	1.100000e+00	9.166667e-01	1.000000e+00
1.200000000000000e+00	1.200000e+00	1.000000e+00	1.090909e+00
1.300000000000000e+00	1.300000e+00	1.083333e+00	1.181818e+00
1.400000000000000e+00	1.400000e+00	1.166667e+00	1.272727e+00
1.500000000000000e+00	1.500000e+00	1.250000e+00	1.363636e+00
1.600000000000000e+00	1.600000e+00	1.333333e+00	1.454545e+00
1.700000000000000e+00	1.700000e+00	1.416667e+00	1.545455e+00
1.800000000000000e+00	1.800000e+00	1.500000e+00	1.636364e+00
1.900000000000001e+00	1.900000e+00	1.583333e+00	1.727273e+00
